test	category	issue	expected_result	expected_message	reason
generic/032	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/033	known_unsupported	#255	NOTRUN	xfs_io fzero failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/034	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/037	known_unsupported	#255	NOTRUN	attr namespace user not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/039	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/040	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/041	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/042	upstream_not_applicable	-	NOTRUN	fuse does not support shutdown	Pinned fstests excludes this local-filesystem shutdown/freeze operation for FUSE.
generic/050	upstream_not_applicable	-	NOTRUN	fuse does not support shutdown	Pinned fstests excludes this local-filesystem shutdown/freeze operation for FUSE.
generic/052	upstream_not_applicable	-	NOTRUN	fuse does not support shutdown	Pinned fstests excludes this local-filesystem shutdown/freeze operation for FUSE.
generic/053	known_unsupported	#255	NOTRUN	ACLs not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/056	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/057	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/058	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/059	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/060	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/061	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/062	known_unsupported	#255	NOTRUN	attr namespace user not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/063	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/064	known_unsupported	#255	NOTRUN	xfs_io fiemap failed (old kernel/wrong fs?)	SwordFS does not provide the block-mapping/fiemap capability required by this testcase; tracked by #255.
generic/065	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/066	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/067	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/070	known_unsupported	#255	NOTRUN	attr namespace user not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/071	known_unsupported	#255	NOTRUN	xfs_io falloc -k failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/073	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/076	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be local device	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/078	known_unsupported	#255	NOTRUN	kernel doesn't support renameat2 syscall	The upstream probe exercises RENAME_WHITEOUT, which SwordFS does not currently support; tracked by #255.
generic/079	known_unsupported	#255	NOTRUN	file system doesn't support chattr +ia	SwordFS VfsImpl::Ioctl returns NotSupported for the required filesystem ioctl capability; tracked by #255.
generic/081	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/082	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/086	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/090	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/092	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/094	known_unsupported	#255	NOTRUN	xfs_io fiemap failed (old kernel/wrong fs?)	SwordFS does not provide the block-mapping/fiemap capability required by this testcase; tracked by #255.
generic/096	known_unsupported	#255	NOTRUN	xfs_io fzero failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/097	known_unsupported	#255	NOTRUN	attr namespace user not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/099	known_unsupported	#255	NOTRUN	ACLs not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/101	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/103	known_unsupported	#255	NOTRUN	attr namespace user not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/104	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/105	known_unsupported	#255	NOTRUN	ACLs not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/106	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/107	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/108	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/110	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/111	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/114	upstream_not_applicable	-	NOTRUN	device block size: 4096 greater than 512	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/115	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/116	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/117	known_unsupported	#255	NOTRUN	attr namespace user not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/118	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/119	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/120	known_semantic_defect	#256	FAIL	- output mismatch (see <FSTESTS_RESULT_DIR>/generic/120.out.bad)	SwordFS metadata atime updates do not honor noatime mount semantics; tracked by #256.
generic/121	upstream_not_applicable	-	NOTRUN	Dedupe not supported by test filesystem type: fuse	Pinned fstests classifies dedupe as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/122	upstream_not_applicable	-	NOTRUN	Dedupe not supported by test filesystem type: fuse	Pinned fstests classifies dedupe as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/131	known_unsupported	#255	FAIL	- output mismatch (see <FSTESTS_RESULT_DIR>/generic/131.out.bad)	SwordFS POSIX lock hooks return ENOSYS; tracked by #255.
generic/134	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/136	upstream_not_applicable	-	NOTRUN	Dedupe not supported by test filesystem type: fuse	Pinned fstests classifies dedupe as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/138	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/139	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/140	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/142	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/143	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/144	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/145	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/146	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/147	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/148	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/149	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/150	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/151	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/152	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/153	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/154	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/155	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/156	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/157	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/158	upstream_not_applicable	-	NOTRUN	Dedupe not supported by test filesystem type: fuse	Pinned fstests classifies dedupe as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/159	known_unsupported	#255	NOTRUN	file system doesn't support chattr +i	SwordFS VfsImpl::Ioctl returns NotSupported for the required filesystem ioctl capability; tracked by #255.
generic/160	known_unsupported	#255	NOTRUN	file system doesn't support chattr +i	SwordFS VfsImpl::Ioctl returns NotSupported for the required filesystem ioctl capability; tracked by #255.
generic/161	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/162	upstream_not_applicable	-	NOTRUN	Dedupe not supported by scratch filesystem type: fuse	Pinned fstests classifies dedupe as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/163	upstream_not_applicable	-	NOTRUN	Dedupe not supported by scratch filesystem type: fuse	Pinned fstests classifies dedupe as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/171	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/172	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/173	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/174	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/177	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/178	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/179	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/180	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/181	upstream_not_applicable	-	NOTRUN	Reflink not supported by test filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/182	upstream_not_applicable	-	NOTRUN	Dedupe not supported by test filesystem type: fuse	Pinned fstests classifies dedupe as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/183	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/184	upstream_not_applicable	-	FAIL	- output mismatch (see <FSTESTS_RESULT_DIR>/generic/184.out.bad)	FUSE mounts are nodev, so the device-node execution behavior tested here is not applicable.
generic/185	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/188	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/189	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/190	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/191	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/194	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/195	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/196	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/197	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/199	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/200	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/201	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/202	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/203	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/205	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/206	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/211	upstream_not_applicable	-	NOTRUN	Filesystem fuse not supported in _scratch_mkfs_sized	The testcase requires sizing/formatting a local scratch filesystem, which is not applicable to FUSE.
generic/213	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/214	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/216	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/217	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/218	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/219	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/220	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/222	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/223	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/225	known_unsupported	#255	NOTRUN	xfs_io fiemap failed (old kernel/wrong fs?)	SwordFS does not provide the block-mapping/fiemap capability required by this testcase; tracked by #255.
generic/227	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/228	known_unsupported	#255	NOTRUN	xfs_io falloc failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/229	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/230	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/235	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/237	known_unsupported	#255	NOTRUN	ACLs not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/238	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/240	upstream_not_applicable	-	NOTRUN	fs block size must be larger than the device block size. fs block size: 4096, device block size: 4096	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/244	upstream_not_applicable	-	NOTRUN	disk quotas not supported by this filesystem type: fuse	Pinned fstests classifies disk quota testing as unsupported for filesystem type fuse.
generic/250	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/252	upstream_not_applicable	-	NOTRUN	require <FSTESTS_WORK_DIR>/scratch to be valid block disk	The testcase requires local block-device geometry or a block device, which a SwordFS FUSE volume does not expose.
generic/253	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/254	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/255	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/256	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/259	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/260	known_unsupported	#255	NOTRUN	FITRIM not supported on <FSTESTS_WORK_DIR>/scratch	SwordFS VfsImpl::Ioctl returns NotSupported for the required filesystem ioctl capability; tracked by #255.
generic/261	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/262	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/264	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/265	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/266	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/267	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
generic/268	upstream_not_applicable	-	NOTRUN	Reflink not supported by scratch filesystem type: fuse	Pinned fstests classifies reflink as unsupported for FUSE, so this testcase is not applicable to the current FUSE test model.
